ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,suv,1,hyundai,hyundai creta,2018,6432,1.6 sx automatic,990000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,25009,wb20,1591,automatic,27,12,16,30,8,14.8,121.3,170.553712,17.0,Kolkata
petrol,hatchback,1,maruti,maruti swift,2020,10403,vxi,534000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,46469,wb06,1197,manual,11,7,7,26,6,22.38,88.5,113.0,16.0,Kolkata
petrol,suv,1,hyundai,hyundai creta,2018,8179,1.6 vtvt sx plus,800000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,45000,wb02,1591,manual,21,11,16,24,8,13.0,121.3,151.0,17.0,Kolkata
petrol,sedan,1,hyundai,hyundai verna,2020,7731,sx opt,983000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,31577,wb02,1497,manual,28,13,16,29,10,17.7,113.18,143.8,16.0,Kolkata
petrol,hatchback,1,maruti,maruti celerio,2014,3982,vxi at,281000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,56005,wb08,998,automatic,10,9,5,13,0,23.1,67.04,90.0,16.0,Kolkata
petrol,hatchback,1,maruti,maruti wagon r,2021,6740,vxi,535000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,10005,wb96,998,manual,9,9,5,25,6,21.79,67.05,90.0,16.0,Kolkata
petrol,hatchback,1,hyundai,hyundai grand i10,2017,5607,1.2 kappa asta,475000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,41163,wb06,1197,manual,19,11,14,24,7,18.9,81.86,170.553712,14.0,Kolkata
diesel,sedan,1,mercedes-benz,mercedes-benz e-class,2020,7579,exclusive e 220d,5300000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,17839,wb92,1950,automatic,31,15,13,37,9,16.1,191.7,400.0,17.0,Kolkata
petrol,sedan,1,toyota,toyota yaris,2019,7286,v,695000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,3800,wb20,1496,manual,19,13,13,29,8,17.1,105.5,140.0,15.0,Kolkata
petrol,hatchback,1,maruti,maruti wagon r,2018,6740,vxi,395000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,34124,wb08,998,manual,9,9,5,25,6,21.79,67.05,90.0,16.0,Kolkata
diesel,hatchback,2,hyundai,hyundai i20,2012,1636,1.4 crdi magna,200000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,wb06,1396,manual,13,11,5,13,4,21.9,103.11962880475131,170.553712,14.0,Kolkata
petrol,sedan,1,honda,honda city,2018,5628,i-vtec vx,750000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,48168,wb02,1497,manual,26,12,12,27,9,17.4,117.6,145.0,16.0,Kolkata
diesel,muv,3,mahindra,mahindra marazzo,2019,6572,m2 8str bsiv,975000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,8,20000,unknown,1497,manual,14,10,7,25,0,17.3,121.0,300.0,16.0,Kolkata
petrol,sedan,1,maruti,maruti swift dzire,2018,6857,lxi,480000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,56357,wb26,1197,manual,0,0,0,0,0,19.0,85.8,114.0,14.0,Kolkata
petrol,sedan,1,maruti,maruti swift dzire,2010,4224,vxi,245000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,wb06,1298,manual,13,8,6,14,4,17.5,85.8,114.0,14.0,Kolkata
petrol,hatchback,1,maruti,maruti baleno,2022,6777,delta,719000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,10585,wb26,1197,manual,11,10,14,27,7,21.01,81.8,113.0,16.0,Kolkata
petrol,sedan,2,honda,honda civic,2012,1305,1.8 v at elegance,375000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,tn01,1799,automatic,17,12,10,21,5,13.1,132.0,17.5,15.0,Kolkata
petrol,sedan,1,maruti,maruti swift dzire,2010,4224,vxi,245000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,wb06,1298,manual,13,8,6,14,4,17.5,85.8,114.0,14.0,Kolkata
petrol,suv,1,hyundai,hyundai creta,2020,7689,s bsvi,1214000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,17642,wb12,1497,manual,24,11,14,29,10,0.0,113.18,143.8,16.0,Kolkata
diesel,hatchback,1,tata,tata tiago,2018,6718,1.05 revotorq xz plus dualtone,438999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,wb02,1047,manual,15,12,14,24,9,27.28,69.0,140.0,14.0,Kolkata
petrol,hatchback,1,hyundai,hyundai grand i10 nios,2021,7094,asta,753000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,9157,wb08,1197,manual,21,12,16,24,11,20.7,81.86,170.553712,15.0,Kolkata
petrol,sedan,2,honda,honda amaze,2016,1168,s i-vtech,362000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,65979,wb02,1198,manual,15,11,5,16,5,18.0,86.7,109.0,16.0,Kolkata
diesel,sedan,1,skoda,skoda rapid,2014,3171,1.6 tdi active plus,300000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,65000,wb02,1598,manual,15,7,5,11,0,20.5,105.0,250.0,14.0,Kolkata
petrol,hatchback,2,datsun,datsun redigo,2020,5906,1.0 t option,389000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,7940,wb06,999,manual,10,7,6,15,5,22.5,67.0,91.0,16.0,Kolkata
petrol,hatchback,4,hyundai,hyundai santro xing,2010,1709,gl,114999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,100000,wb18,1086,manual,6,4,1,10,0,0.0,62.0,96.1,13.0,Kolkata
diesel,sedan,1,bmw,bmw 3 series,2011,205,320d highline,865000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,40000,wb20,1995,automatic,20,12,14,25,6,16.07,181.0,380.0,16.0,Kolkata
petrol,sedan,2,fiat,fiat linea,2011,764,dynamic,185000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,up33,1368,manual,17,12,10,18,7,14.6,88.7,115.0,15.0,Kolkata
diesel,sedan,1,bmw,bmw 5 series,2019,250,520d luxury line,3950000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,19859,wb08,1995,automatic,29,15,20,37,13,20.37,187.74,400.0,16.0,Kolkata
petrol,suv,1,jeep,jeep wrangler,2023,7663,rubicon bsvi,6250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,7405,ar01,1998,automatic,27,14,13,33,12,12.1,268.0,400.0,17.0,Kolkata
petrol,suv,1,honda,honda br-v,2016,1184,i-vtec v mt,620000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,52922,wb08,1497,manual,19,11,15,27,8,15.4,117.3,145.0,16.0,Kolkata
petrol,suv,1,ford,ford ecosport,2015,887,1.5 ti vct mt trend bsiv,350000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,wb08,1499,manual,12,9,8,20,6,15.85,110.4,140.0,16.0,Kolkata
petrol,hatchback,1,hyundai,hyundai grand i10,2019,5607,1.2 kappa asta,463999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,32000,wb26,1197,manual,19,11,14,24,7,18.9,81.86,170.553712,14.0,Kolkata
petrol,hatchback,2,honda,honda jazz,2017,1339,1.2 v i vtec,412000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,47739,wb06,1199,manual,13,12,12,22,9,18.7,88.7,110.0,15.0,Kolkata
petrol,hatchback,2,maruti,maruti alto k10,2019,3954,vxi ags optional,375000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,10717,wb26,998,automatic,8,8,5,17,5,23.95,67.1,90.0,16.0,Kolkata
diesel,sedan,1,honda,honda city,2015,1287,i dtec vx,621000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,41000,wb02,1498,manual,18,12,9,23,4,25.1,98.6,200.0,15.0,Kolkata
petrol,hatchback,2,hyundai,hyundai santro,2020,8087,magna corp edition,443000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,17619,wb24,1086,manual,12,8,4,22,6,20.3,68.07,99.07,16.0,Kolkata
petrol,hatchback,1,renault,renault kwid,2021,7431,1.0 rxt opt,422000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,9221,wb08,999,manual,11,7,8,22,9,21.74,67.0,91.0,16.0,Kolkata
petrol,suv,1,honda,honda wr-v,2019,5475,i-vtec s,550000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,70000,wb02,1199,manual,19,11,10,28,7,17.5,88.7,110.0,16.0,Kolkata
petrol,hatchback,1,maruti,maruti swift,2019,10403,vxi,545000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,10519,wb26,1197,manual,11,7,7,26,6,22.38,88.5,113.0,16.0,Kolkata
