ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,sedan,1,bmw,bmw 3 series gt,2017,6632,m sport petrol,3215000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,45000,dl26,1998,automatic,29,15,15,34,13,15.34,248.0,350.0,18.0,Delhi
petrol,hatchback,2,hyundai,hyundai grand i10,2014,1544,at asta,421000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,43124,up16,1197,automatic,16,11,14,17,7,18.9,82.0,114.0,14.0,Delhi
diesel,suv,1,mahindra,mahindra xuv500,2020,7799,w7,1300000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,20000,up21,2179,manual,22,10,16,24,10,15.1,152.87,360.0,16.0,Delhi
diesel,suv,1,hyundai,hyundai creta,2017,1444,1.6 crdi at sx plus,1000000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,ph65,1582,automatic,21,11,16,24,8,17.01,126.2,259.9,17.0,Delhi
petrol,hatchback,1,maruti,maruti baleno,2018,6779,zeta,600000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,36000,dl3c,1197,manual,16,11,15,27,11,21.01,81.8,113.0,16.0,Delhi
petrol,hatchback,1,hyundai,hyundai grand i10,2015,1544,at asta,495000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,44559,dl8c,1197,automatic,16,11,14,17,7,18.9,82.0,114.0,14.0,Delhi
petrol,suv,1,mg,mg hector plus,2022,7908,sharp hybrid mt,2050000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,6,10000,up16,1451,manual,19,6,23,24,11,14.025,141.0,198.9501258327165,18.0,Delhi
petrol,hatchback,1,tata,tata altroz,2021,8118,xm plus bsvi,627000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,37587,hr22,1199,manual,12,10,7,24,11,19.33,86.83,113.0,16.0,Delhi
petrol,sedan,1,honda,honda amaze,2016,1156,sx i vtec,340000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,90000,hr13,1198,manual,16,12,8,22,7,17.8,86.7,109.0,16.0,Delhi
petrol,hatchback,1,hyundai,hyundai i10,2010,1591,magna 1.2,190000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,73786,up15,1197,manual,10,7,2,10,0,20.36,78.9,111.7,13.0,Delhi
petrol,sedan,1,toyota,toyota corolla altis,2009,6151,1.8 vl at,300000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,50000,dd4l,1794,automatic,13,9,9,16,9,14.53,138.1,173.0,15.0,Delhi
petrol,hatchback,1,maruti,maruti swift,2018,7084,vxi,575000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,22000,hr26,1197,manual,13,10,6,28,7,21.21,81.8,113.0,16.0,Delhi
petrol,hatchback,1,maruti,maruti baleno,2019,6780,alpha cvt,743000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,38103,up16,1197,automatic,16,12,16,30,11,19.56,81.8,113.0,16.0,Delhi
petrol,hatchback,1,maruti,maruti ignis,2022,7586,zeta bsvi,645000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,15000,hr26,1197,manual,15,7,13,26,9,20.89,81.8,113.0,15.0,Delhi
diesel,muv,1,toyota,toyota innova crysta,2018,2406,2.8 gx at bsiv,1700000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,69000,dl2c,2755,automatic,18,12,11,27,10,11.36,171.5,360.0,16.0,Delhi
petrol,hatchback,2,hyundai,hyundai grand i10,2013,1542,asta,359000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,48327,hr51,1197,manual,16,11,14,17,7,18.9,82.0,114.0,14.0,Delhi
petrol,hatchback,1,maruti,maruti zen estilo,2008,5765,1.1 lxi bsiii,120000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,unknown,1061,manual,7,6,2,0,0,18.2,64.0,84.0,13.0,Delhi
petrol,suv,1,kia,kia seltos,2020,7112,gtx plus,1121000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,38967,up14,1353,manual,23,13,20,33,10,16.5,138.08,198.9501258327165,17.0,Delhi
diesel,suv,1,kia,kia seltos,2020,7114,htk diesel,1375000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,50000,dl2c,1493,manual,14,10,9,28,9,20.8,113.43,198.9501258327165,16.0,Delhi
petrol,hatchback,1,maruti,maruti baleno,2016,6776,alpha,525000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,33000,dl9c,1197,manual,16,12,16,30,11,21.01,81.8,113.0,16.0,Delhi
petrol,sedan,1,toyota,toyota etios,2014,2204,g,375000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,70000,dl14,1496,manual,13,7,4,11,5,16.78,88.73,132.0,15.0,Delhi
petrol,hatchback,3,maruti,maruti wagon r,2006,4336,lxi,90000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,120000,gj01,998,manual,5,5,4,11,0,18.9,67.1,90.0,13.0,Delhi
diesel,suv,1,isuzu,isuzu mu-x,2018,5734,4x4,1698999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,72000,dl8c,2999,automatic,20,12,15,25,10,13.8,175.0,198.9501258327165,17.0,Delhi
petrol,suv,1,hyundai,hyundai creta,2017,5362,1.6 vtvt e plus,894999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,58511,hr26,1591,manual,16,9,8,23,9,15.29,121.3,151.0,16.0,Delhi
diesel,sedan,1,maruti,maruti swift dzire,2014,4242,vdi,409999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,60000,unknown,1248,manual,13,9,8,17,4,23.4,74.0,190.0,14.0,Delhi
diesel,suv,3,mahindra,mahindra scorpio,2019,6116,s7 140 bsiv,1250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,40000,up14,2179,manual,16,10,12,25,7,16.36,140.0,320.0,16.0,Delhi
petrol,hatchback,1,maruti,maruti swift,2019,4160,lxi bsiv,525000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,43500,hr51,1197,manual,8,8,3,21,0,22.0,81.8,113.0,16.0,Delhi
petrol,sedan,1,maruti,maruti swift dzire,2019,4224,vxi,625000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,68192,hr51,1298,manual,13,8,6,14,4,17.5,85.8,114.0,14.0,Delhi
diesel,suv,3,mahindra,mahindra xuv500,2017,3812,w6 1.99 mhawk,850000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,100000,dl10,1997,manual,20,11,14,21,7,16.0,140.0,320.0,16.0,Delhi
diesel,hatchback,1,honda,honda jazz,2015,1345,1.5 v i dtec,340000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,74872,dl8c,1498,manual,13,12,12,22,9,27.3,98.6,200.0,15.0,Delhi
diesel,muv,1,toyota,toyota innova crysta,2019,8193,2.4 gx 7 str,1750000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,7,47000,hr51,2393,manual,20,12,9,31,12,12.0,148.0,343.0,16.0,Delhi
petrol,suv,1,maruti,maruti brezza,2022,9186,zxi plus dt bsvi,1295000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,9000,hr26,1462,manual,22,12,21,32,13,19.89,101.65,136.8,16.0,Delhi
petrol,hatchback,1,volkswagen,volkswagen polo,2019,7140,1.0 mpi highline plus bsiv,699000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,31000,dl9c,999,manual,20,11,15,22,8,18.78,75.0,95.0,16.0,Delhi
petrol,hatchback,2,tata,tata tiago,2018,2971,1.2 revotron xe,399000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,33709,up16,1199,manual,7,10,6,18,0,23.84,84.0,114.0,16.0,Delhi
