ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
diesel,suv,2,mercedes-benz,mercedes-benz gle,2018,4651,250d,3000000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,100000,ts09,2143.0,automatic,30,16,19,32,8,17.9,201.15,500.0,19.0,Hyderabad
diesel,suv,1,ford,ford endeavour,2016,911,3.2 trend at 4x4,2250000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,119422,ts08,3198.0,automatic,20,12,16,25,8,10.91,197.2,470.0,18.0,Hyderabad
petrol,hatchback,1,maruti,maruti swift,2021,8378,vxi bsvi,670000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,33488,ts07,1197.0,manual,11,7,7,26,6,22.38,88.5,113.0,16.0,Hyderabad
petrol,suv,1,mahindra,mahindra thar,2021,7960,lx 4-str hard top bsvi,1650000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,4,30000,unknown,1997.0,manual,12,10,7,24,9,15.2,150.0,300.0,18.0,Hyderabad
petrol,hatchback,1,tata,tata altroz,2022,8277,xz plus bsvi,875000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,21000,ts09,1199.0,manual,19,14,16,28,11,19.33,86.83,113.0,16.0,Hyderabad
diesel,suv,1,jeep,jeep compass,2018,6600,2.0 limited plus bsiv,1600000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,56545,ts09,1956.0,manual,15,12,18,24,8,17.1,170.63,350.0,18.0,Hyderabad
petrol,hatchback,1,volkswagen,volkswagen polo,2017,6300,1.0 mpi highline,675000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,64000,ts09,999.0,manual,16,11,14,21,9,18.78,75.0,95.0,15.0,Hyderabad
petrol,sedan,2,volkswagen,volkswagen ameo,2018,6381,1.0 mpi trendline,533000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,71413,ts09,999.0,manual,9,9,7,19,0,19.44,75.0,95.0,16.0,Hyderabad
petrol,hatchback,2,renault,renault kwid,2020,7429,rxt,487000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party,5,31920,ts15,799.0,manual,10,7,8,22,9,22.3,53.26,72.0,16.0,Hyderabad
diesel,suv,1,bmw,bmw x1,2019,338,sdrive 20d xline,3390000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,46000,ts11,1995.0,automatic,29,15,17,36,9,20.68,188.0,400.0,17.0,Hyderabad
