ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,muv,1,maruti,maruti xl6,2020,7030,zeta,910000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,6,70000,rj02,1462,manual,23,12,18,29,11,19.01,103.2,171.20369154228854,16.0,Jaipur
petrol,hatchback,1,maruti,maruti wagon r,2010,4339,lxi minor,225000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,80000,rj14,1061,manual,5,5,4,10,0,18.9,67.0,84.0,13.0,Jaipur
petrol,hatchback,1,hyundai,hyundai i20,2018,6252,petrol asta option,725000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,43336,rj45,1197,manual,23,12,11,29,8,18.6,81.86,171.20369154228854,16.0,Jaipur
diesel,muv,2,mahindra,mahindra marazzo,2018,6572,m2 8str bsiv,570000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,8,120000,rj14,1497,manual,14,10,7,25,0,17.3,121.0,300.0,16.0,Jaipur
petrol,sedan,2,honda,honda city,2020,7902,vx cvt,1200000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,rj45,1498,automatic,27,12,14,33,10,18.3,119.35,145.0,16.0,Jaipur
petrol,suv,2,tata,tata nexon,2018,5992,1.2 revotron xm,721000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,90000,rj45,1198,manual,10,11,6,20,6,17.0,108.5,170.0,16.0,Jaipur
petrol,hatchback,1,honda,honda jazz,2021,7978,zx,775000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,21659,rj45,1199,manual,16,12,18,21,11,17.1,88.5,110.0,15.0,Jaipur
diesel,suv,1,maruti,maruti vitara brezza,2017,4297,vdi,740000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,80000,rj14,1248,manual,12,9,8,25,9,24.3,88.5,200.0,16.0,Jaipur
petrol,hatchback,1,maruti,maruti baleno,2018,5920,1.2 cvt alpha,732000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,63662,rj45,1197,automatic,15,12,13,28,9,21.4,83.1,115.0,16.0,Jaipur
diesel,muv,2,toyota,toyota innova,2012,2394,2.5 vx (diesel) 8 seater,650000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,8,188000,rj14,2494,manual,11,10,7,20,5,12.99,100.0,200.0,15.0,Jaipur
diesel,sedan,1,jaguar,jaguar xj,2019,5015,3.0l portfolio,5890000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,82058,rj45,2993,automatic,23,13,13,30,8,14.47,301.73,689.0,19.0,Jaipur
diesel,suv,1,maruti,maruti sx4 s cross,2019,6025,delta ddis 200 sh,850000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,67847,rj45,1248,manual,18,10,13,27,9,25.1,88.5,200.0,16.0,Jaipur
diesel,suv,1,kia,kia seltos,2020,7121,gtx plus diesel at,1650000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,59627,rj45,1493,automatic,24,14,20,34,11,18.0,113.43,250.0,17.0,Jaipur
diesel,suv,1,tata,tata harrier,2022,7506,xza dual tone at bsvi,2150000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,20000,22bh,1956,automatic,16,14,15,25,10,14.6,167.67,350.0,17.0,Jaipur
