ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,trendingText,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
petrol,hatchback,1,maruti,maruti wagon r,2015,4310,vxi bs iv,349000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,12434,wb38,998,manual,11,10,11,17,6,20.51,67.04,90.0,16.0,Bangalore
petrol,muv,2,maruti,maruti ertiga,2019,6701,zxi plus petrol,1050000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,60000,ka53,1462,manual,19,12,13,27,9,19.34,103.0,138.0,16.0,Bangalore
diesel,sedan,1,mercedes-benz,mercedes-benz c-class,2019,6598,progressive c 220d,4425000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,12000,ka51,1950,automatic,32,16,14,34,10,12.6,194.0,400.0,17.0,Bangalore
petrol,hatchback,2,maruti,maruti wagon r,2015,4310,vxi bs iv,405999,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,40987,ka53,998,manual,11,10,11,17,6,20.51,67.04,90.0,16.0,Bangalore
petrol,sedan,1,bmw,bmw 5 series,2020,7582,530i sport,4965000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,18157,ka51,1998,automatic,30,15,20,36,13,15.56,248.08,350.0,16.0,Bangalore
diesel,suv,3,toyota,toyota fortuner,2011,2263,3.0 diesel,1100000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,7,120000,ka47,2982,manual,17,13,16,24,7,11.5,106.46522829131652,343.0,17.0,Bangalore
diesel,suv,2,renault,renault duster,2020,7022,rxz 110ps amt bsiv,1100000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,40000,ka51,1461,automatic,16,10,12,25,21,19.87,108.5,245.0,16.0,Bangalore
petrol,hatchback,1,hyundai,hyundai i20,2016,1481,sportz 1.2,594000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",comprehensive,5,89667,ka19,1197,manual,14,10,10,21,7,18.6,81.83,114.7,16.0,Bangalore
diesel,hatchback,1,hyundai,hyundai i20,2017,1610,asta option 1.4 crdi,710000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",third party insurance,5,120000,ka05,1396,manual,18,11,12,27,7,22.54,88.73,219.7,16.0,Bangalore
petrol,hatchback,1,maruti,maruti baleno,2017,3969,1.2 zeta,692000,"{'imgUrl': 'https://stimg.cardekho.com/used-cars/common/icons/trending.svg', 'heading': 'Trending Car!', 'desc': 'High chances of sale in next 6 days'}",zero dep,5,56997,ka03,1197,manual,13,12,13,27,8,21.4,83.1,115.0,16.0,Bangalore
