ft,bt,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Insurance Validity,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Wheel Size,city
4,8,1,16,133,2022,8391,1735,1050000,5,5,10000,107,1197,0,13,10,10,27,8,17.0,108.6,200.0,16.0,0
4,8,1,21,202,2021,8344,1439,2075000,2,6,18000,139,1451,0,20,5,23,24,10,16.56,141.0,179.23388467374812,18.0,0
4,2,1,8,58,2013,1203,1399,394000,4,5,38197,107,1198,1,10,8,5,16,3,19.4,86.8,109.0,16.0,0
4,2,2,19,143,2017,6782,1881,725000,2,5,23000,139,1197,0,16,11,15,27,11,19.56,81.8,113.0,16.0,0
4,2,1,19,142,2013,3957,1192,240000,5,5,50000,106,998,1,6,5,3,7,0,20.92,67.1,90.0,13.0,0
4,8,1,27,229,2022,8367,1368,835000,5,5,10000,141,999,0,17,11,15,25,12,19.03,71.01,96.0,16.0,0
4,2,1,9,73,2019,5607,87,695000,5,5,19000,108,1197,1,19,11,14,24,7,18.9,81.86,179.23388467374812,14.0,0
4,8,1,13,103,2020,7122,1061,1725000,2,5,14000,105,1353,0,24,14,20,34,10,16.5,138.08,179.23388467374812,17.0,0
4,2,1,9,71,2014,1503,1244,330000,2,5,29268,124,814,1,9,7,7,15,5,21.1,55.2,74.5,16.0,0
4,7,1,31,290,2019,5595,152,990000,5,5,20000,105,1197,0,23,12,13,28,9,18.19,103.2,175.0,15.0,0
4,7,1,30,280,2018,6400,1023,750000,5,5,30000,107,1496,1,18,13,11,26,8,17.1,105.5,140.0,16.0,0
4,2,1,8,62,2018,1340,154,755000,5,5,64374,109,1199,0,13,12,12,22,9,19.0,88.7,110.0,15.0,0
1,8,1,21,201,2021,6939,1444,1750000,5,5,30000,126,1956,1,22,11,16,31,8,17.41,167.68,350.0,16.0,0
4,8,1,9,67,2022,10187,1457,2082999,2,6,7100,107,1999,0,28,16,22,32,10,14.2,156.9,179.23388467374812,18.0,0
4,2,1,9,75,2010,1577,991,271000,2,5,43679,139,1086,1,7,7,4,10,1,19.81,68.05,99.04,13.0,0
4,8,1,9,69,2018,6432,371,1280000,5,5,40000,139,1591,0,27,12,16,30,8,14.8,121.3,179.23388467374812,17.0,0
